"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico."
"Informacion sujeta a cambios. Archivo generado el 2020-02-14 a las 14:17:43 (tiempo del centro de Mexico)."
"Sismicidad del 2017-01-01 al 2018-01-01, todas las magnitudes, todas las profundidades, en todo el pais."
"Total: 26645 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2017-01-01,00:15:59,3.5,15.2218,-93.1245,81.5,"35 km al SUROESTE de MAPASTEPEC, CHIS",2017-01-01,06:15:59,revisado
2017-01-01,00:16:06,3.2,16.961,-99.5348,36.7,"24 km al NOROESTE de SAN MARCOS, GRO",2017-01-01,06:16:06,revisado
2017-01-01,00:20:52,3.4,16.5082,-98.5332,18.3,"24 km al SUROESTE de OMETEPEC, GRO",2017-01-01,06:20:52,revisado
2017-01-01,01:36:49,3.7,14.525,-92.5765,54.8,"49 km al SUROESTE de CD HIDALGO, CHIS",2017-01-01,07:36:49,revisado
2017-01-01,01:53:45,3.5,16.3272,-98.2833,8.6,"25 km al OESTE de PINOTEPA NACIONAL, OAX",2017-01-01,07:53:45,revisado
2017-01-01,01:56:40,3.5,16.7723,-99.6332,16.0,"26 km al OESTE de SAN MARCOS, GRO",2017-01-01,07:56:40,revisado
2017-01-01,02:25:04,3.0,16.2637,-98.0533,9.3,"9 km al SUR de PINOTEPA NACIONAL, OAX",2017-01-01,08:25:04,revisado
2017-01-01,02:47:10,3.1,18.2217,-103.532,5.0,"73 km al SUROESTE de COALCOMAN, MICH",2017-01-01,08:47:10,revisado
2017-01-01,02:49:23,4.1,16.7017,-98.8633,27.5,"49 km al OESTE de OMETEPEC, GRO",2017-01-01,08:49:23,revisado
2017-01-01,03:04:31,3.6,20.5215,-106.213,10.0,"103 km al OESTE de PUERTO VALLARTA, JAL",2017-01-01,09:04:31,revisado
2017-01-01,03:11:59,3.2,19.2573,-104.872,39.9,"33 km al OESTE de CIHUATLAN, JAL",2017-01-01,09:11:59,revisado
2017-01-01,03:14:06,3.8,20.4562,-106.207,5.0,"103 km al OESTE de PUERTO VALLARTA, JAL",2017-01-01,09:14:06,revisado
2017-01-01,03:33:51,3.4,16.3835,-100.782,10.0,"94 km al SUR de TECPAN, GRO",2017-01-01,09:33:51,revisado
2017-01-01,03:56:42,3.6,16.4723,-98.6372,20.0,"34 km al SUROESTE de OMETEPEC, GRO",2017-01-01,09:56:42,revisado
2017-01-01,04:04:19,4.4,16.1993,-99.1168,16.0,"72 km al SURESTE de SAN MARCOS, GRO",2017-01-01,10:04:19,revisado
2017-01-01,04:35:50,3.8,16.1477,-99.1312,16.1,"77 km al SURESTE de SAN MARCOS, GRO",2017-01-01,10:35:50,revisado
2017-01-01,05:05:57,3.7,16.1833,-99.1442,16.1,"73 km al SURESTE de SAN MARCOS, GRO",2017-01-01,11:05:57,revisado
2017-01-01,05:25:07,3.5,16.3052,-100.65,8.0,"98 km al SUROESTE de COYUCA DE BENITEZ, GRO",2017-01-01,11:25:07,revisado
2017-01-01,05:40:38,3.1,16.2362,-98.0555,14.4,"12 km al SUR de PINOTEPA NACIONAL, OAX",2017-01-01,11:40:38,revisado
2017-01-01,06:20:19,3.8,18.3737,-102.561,20.0,"45 km al NOROESTE de LA MIRA, MICH",2017-01-01,12:20:19,revisado
2017-01-01,06:25:14,3.6,18.1075,-103.259,7.4,"75 km al SUR de COALCOMAN, MICH",2017-01-01,12:25:14,revisado
2017-01-01,06:32:57,3.8,14.8155,-93.8758,31.4,"120 km al SUROESTE de PIJIJIAPAN, CHIS",2017-01-01,12:32:57,revisado
2017-01-01,06:40:05,3.6,16.9733,-100.452,12.6,"26 km al SUR de ATOYAC DE ALVAREZ, GRO",2017-01-01,12:40:05,revisado
2017-01-01,06:53:06,3.8,19.1072,-104.138,9.6,"20 km al NORESTE de MANZANILLO, COL",2017-01-01,12:53:06,revisado
2017-01-01,07:08:05,3.7,16.0725,-94.0923,97.2,"27 km al SUROESTE de ARRIAGA , CHIS",2017-01-01,13:08:05,revisado
2017-01-01,07:27:03,3.1,19.0145,-104.106,13.6,"17 km al NOROESTE de CD DE ARMERIA, COL",2017-01-01,13:27:03,revisado
2017-01-01,07:29:23,3.9,17.228,-94.832,122.9,"45 km al NORESTE de MATIAS ROMERO, OAX",2017-01-01,13:29:23,revisado
2017-01-01,08:12:01,4.2,15.9428,-96.8723,30.0,"23 km al NORESTE de PUERTO ESCONDIDO, OAX",2017-01-01,14:12:01,revisado
2017-01-01,08:21:35,3.5,16.0575,-97.0185,36.6,"22 km al NORTE de PUERTO ESCONDIDO, OAX",2017-01-01,14:21:35,revisado
2017-01-01,08:27:22,3.5,17.1723,-95.0028,116.8,"33 km al NORTE de MATIAS ROMERO, OAX",2017-01-01,14:27:22,revisado
2017-01-01,08:37:21,3.6,15.7157,-91.8775,152.9,"29 km al ESTE de FRONTERA COMALAPA, CHIS",2017-01-01,14:37:21,revisado
2017-01-01,09:11:41,3.2,16.1148,-97.194,25.9,"28 km al NORESTE de RIO GRANDE, OAX",2017-01-01,15:11:41,revisado
2017-01-01,09:42:29,3.9,16.7997,-100.131,4.8,"23 km al SUR de COYUCA DE BENITEZ, GRO",2017-01-01,15:42:29,revisado
2017-01-01,09:55:16,3.8,27.9735,-112.086,10.0,"73 km al NORTE de SANTA ROSALIA, BCS",2017-01-01,15:55:16,revisado
2017-01-01,10:13:06,3.4,15.9812,-97.4965,15.8,"8 km al SUROESTE de RIO GRANDE, OAX",2017-01-01,16:13:06,revisado
2017-01-01,10:53:48,3.0,19.1438,-104.417,12.9,"15 km al NOROESTE de MANZANILLO, COL",2017-01-01,16:53:48,revisado
2017-01-01,11:16:59,3.5,22.7705,-100.144,10.0,"40 km al NORESTE de CERRITOS, SLP",2017-01-01,17:16:59,revisado
2017-01-01,11:33:08,3.9,16.7672,-100.123,8.5,"27 km al SUROESTE de ACAPULCO, GRO",2017-01-01,17:33:08,revisado
2017-01-01,11:34:17,3.7,16.4175,-95.9018,45.5,"72 km al OESTE de TEHUANTEPEC, OAX",2017-01-01,17:34:17,revisado
2017-01-01,11:41:21,3.4,16.9523,-95.7608,46.9,"76 km al ESTE de TLACOLULA, OAX",2017-01-01,17:41:21,revisado
2017-01-01,12:14:56,4.2,16.5142,-98.4468,14.6,"19 km al SUR de OMETEPEC, GRO",2017-01-01,18:14:56,revisado
2017-01-01,12:18:39,3.4,16.6007,-98.4078,26.8,"9 km al SUR de OMETEPEC, GRO",2017-01-01,18:18:39,revisado
2017-01-01,12:23:07,3.5,27.511,-111.551,10.0,"73 km al ESTE de SANTA ROSALIA, BCS",2017-01-01,18:23:07,revisado
2017-01-01,12:31:18,3.1,16.5562,-98.441,8.5,"15 km al SUROESTE de OMETEPEC, GRO",2017-01-01,18:31:18,revisado
2017-01-01,12:49:16,3.2,16.7475,-98.3582,10.6,"9 km al NORESTE de OMETEPEC, GRO",2017-01-01,18:49:16,revisado
2017-01-01,13:21:02,3.8,15.5653,-94.8803,16.8,"76 km al SURESTE de SALINA CRUZ, OAX",2017-01-01,19:21:02,revisado
